"soil_symbo","soil_name","soil_descr","slope_min_","slope_max_","depth_wate","depth_wate 2","depth_bedr","depth_bedr 2","soil_drain","erodibilit","prime_ag_s","slope_grea","bedrock_ou","hydric_soi","tfactor","kfactor","lcc","alcs"
"Ab","Alluvial land","A miscellaneous land type that consists of narrow strips of first bottom or small terrace remnants.",0,0,0,0,"","","Nearly well drained to very poorly drained","NHEL (Non-Highly Erodible Land)","","Variable","","This soil is considered hydric.",5,0.17,"5W",9
"ArB","Arkport fine sandy loam, 2 to 6 percent slopes","Deep, well drained, sandy soil, strongly or medium acid in the upper layers but neutral to mildly calcareous at 3 to 4 feet. Characteristically narrow bands of brown clayey material are present in subsoil and substratum. Principal use limitation is sus",2,6,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.28,"2E",3
"ArC","Arkport fine sandy loam, 6 to 12 percent slopes","Deep well drained sandy soil with clay bands present in the lower subsoil. Medium to strongly acid on the surface and upper subsoil but neutral to slightly calcareous in the substratum. Most slopes are rolling. Main use limitation is susceptibility to",6,12,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.28,"3E",4
"BaB","Bath channery silt loam, 2 to 5 percent slopes","Deep, well drained strongly acid soils with well defined fragipan at 18 to 24 inches below the surface that impedes the movement of both roots and water. Soil is developed in glacial till derived mainly from local shale and sandstone rocks. Numerous sm",2,5,2,2,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2E",3
"BaC","Bath channery silt loam, 5 to 15 percent slopes","Deep, well drained, strongly acid soil, with distinctly developed fragipan at 18 to 24 inches that restricts downward movement of both water and roots. Soil is developed in compact glacial till derived from local shale and sandstone rocks. Many fragmen",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"BaC3","Bath channery silt loam, 5 to 15 percent slopes, eroded","This soil is developed on moderately deep compact glacial till derived from local shale and sandstone rocks. It is deep, well drained and strongly acid. It has distinct fragipan in the subsoil. These sloping areas are eroded enough to cause it to be m",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",6
"BaD","Bath channery silt loam, 15 to 25 percent slopes","This soil is deep, well drained and medium textured. A dense layer called a fragipan occurs at 26 to 40 inches. It occupies moderately steep areas of glacial till in the uplands. It is very strongly acid to medium acid. Permeability is moderate above",15,25,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"BgC","Bath and Valois gravelly silt loam, 5 to 15 percent slopes","This unit consists of deep, well drained strongly acid areas that may be composed of either soil listed or parts of both. The soils are on rolling small knolls characteristic of morainic areas. Bath soils have fragipans in the subsoil which restricts p",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"BgC3","Bath and Valois gravelly silt loam, 5 to 15 percent slopes, eroded","This unit of undifferentiated Bath and Valois soils on moderate slopes may be made up of one or both of the listed soils that have been moderately to seriously eroded as a result of improper land use. Usually found on rolling, to irregular topography wh",5,15,2,2,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"3E",6
"BgD","Bath and Valois gravelly silt loam, 15 to 25 percent slopes","Deep strongly acid, well drained areas made up of either Bath or Valois soils or some of each. Slopes are moderately steep, strongly rolling areas on which it is difficult to use farm machinery and which are commonly seriously eroded. Use is greatly re",15,25,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"BoE","Bath and Valois soils, 25 to 35 percent slopes","This soil is deep, well drained and medium textured. A dense layer called a fragipan layer occurs at 26 to 40 inches. It occupies steep areas of glacial till on the valley walls in the uplands. It is very strongly acid to medium acid. Permeability is",25,35,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"6E",8
"BtF","Bath, Valois, and Lansing soils, 35 to 60 percent slopes","This is an undifferentiated unit of soils developed in deep glacial till found on valley walls, stream scars and strongly dissected land forms. Steep slopes precludes use except for forestry, recreation and as wild life habitat.",35,60,1.7,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,3,"7E",9
"BvA","Braceville gravelly silt loam, 0 to 5 percent slopes","This soil is deep, moderately well drained and medium textured. It occupies nearly level and slightly depressed areas on gravelly outwash stream terraces and the lower ends of alluvial fans. Unlimed it is medium to strongly acid. Permeability is rapid",0,5,0.5,1.7,"","","Moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.2,"2W",4
"Ca","Canadaigua and Lamson soils","Any area on the map may consist of silty Canandaigua or sandy Lamson soils. Both are deep, poorly drained, neutral to slightly alkaline in the surface and have free lime in the subsoil and lower subsoil. Use is strongly limited by the poor drainage and",0,0,0,0.5,"","","Poorly drained and very poorly drained","NHEL (Non-Highly Erodible Land)","","","","This soil is considered hydric.",5,0.49,"3W",7
"CdA","Chenango gravelly loam, 0 to 5 percent slopes","This soil is deep, well to somewhat excessively drained and gravelly. It occupies nearly level glacial outwash plains and stream terraces. Unlimed it is medium to strongly acid. Permeability is moderate to rapid in the subsoil and very rapid in the su",0,5,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2S",2
"CdC","Chenango gravelly loam, 5 to 15 percent slopes","This soil is deep, well to somewhat excessively drained and gravelly. It occupies gently sloping glacial outwash terraces and stream terraces. Unlimed it is medium to strongly acid. Permeability is moderate to rapid in the subsoil and very rapid in th",5,15,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"CdD","Chenango gravelly loam, 15 to 25 percent slopes","This Chenango unit represents deep, well to excessively drained, to strongly acid, gravelly soil material. It is found on steep terrace fronts, kame terrace slopes and includes strong rolling to hummocky areas of morainic topography. These latter areas",15,25,3,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"CfA","Conesus gravelly silt loam, 0 to 3 percent slopes","This soil is deep, moderately well drained and medium textured. It occupies nearly level areas of glacial till in the uplands. Unlimed the solum is medium acid to neutral. Permeability is moderate in the solum and slow in the dense substratum. The av",0,3,0.5,2.5,"","","Moderately well drained","NHEL (Non-Highly Erodible Land)","","No","","No",3,0.28,"2W",2
"CfB","Conesus gravelly silt loam, 3 to 8 percent slopes","This soil is deep, moderately well drained, medium textured in the surface and moderately fine textured in the subsoil. It occupies gently sloping areas of glacial till in the uplands. The unlimed solum is medium acid to neutral. Permeability is moder",3,8,0.5,2.5,"","","Moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.28,"2E",3
